,sid,经度,纬度,province,city
39,50915,45.516666666665536,116.96666666667015,内蒙古自治区,锡林郭勒盟
40,50924,45.53936269369858,119.66063730630621,内蒙古自治区,通辽市
41,50936,45.63333333333208,122.83333333333124,吉林省,白城市
42,50945,45.5,124.2546079459396,吉林省,白城市
43,50948,45.0,124.01666666666382,吉林省,松原市
44,50949,45.08333333333144,124.86666666666076,吉林省,松原市
45,50950,45.69999999999795,125.25,黑龙江省,大庆市
46,50953,45.8631014796697,126.6432832343002,黑龙江省,哈尔滨市
47,50955,45.391488989860534,126.30815565652802,黑龙江省,哈尔滨市
48,50963,45.96666666666354,128.73333333333622,黑龙江省,哈尔滨市
49,50968,45.21666666666355,127.96666666667052,黑龙江省,哈尔滨市
50,50973,45.75,130.59999999999593,黑龙江省,七台河市
51,50978,45.30000000000204,130.92305138063873,黑龙江省,鸡西市
52,50983,45.766666666665536,132.96666666667068,黑龙江省,鸡西市
53,51053,48.050000000001404,86.399999999996,新疆维吾尔自治区,阿勒泰地区
54,51059,47.43723639753039,85.870569730864,新疆维吾尔自治区,阿勒泰地区
55,51060,47.6999999999985,86.86666666666824,新疆维吾尔自治区,阿勒泰地区
56,51068,47.11666666666794,87.47269602703079,新疆维吾尔自治区,阿勒泰地区
57,51076,47.73333333333458,88.08333333333698,新疆维吾尔自治区,阿勒泰地区
58,51087,46.98687521845547,89.51595013398348,新疆维吾尔自治区,阿勒泰地区
59,51133,46.733333333334535,83.0,新疆维吾尔自治区,塔城地区
60,51156,46.7953920540611,85.7287253873928,新疆维吾尔自治区,塔城地区
61,51186,46.666666666668384,90.38333333333172,新疆维吾尔自治区,阿勒泰地区
62,51232,45.18333333333413,82.56666666667228,新疆维吾尔自治区,博尔塔拉蒙古自治州
63,51238,44.89999999999768,82.06666666667222,新疆维吾尔自治区,博尔塔拉蒙古自治州
64,51241,45.933333333334105,83.60000000000394,新疆维吾尔自治区,塔城地区
65,51243,45.61666666666792,84.85000000000397,新疆维吾尔自治区,克拉玛依市
66,51288,45.36666666666792,90.53333333333109,新疆维吾尔自治区,昌吉回族自治州
67,51330,44.96666666666357,81.01666666666435,新疆维吾尔自治区,博尔塔拉蒙古自治州
68,51334,44.583688686938295,82.85922171735321,新疆维吾尔自治区,博尔塔拉蒙古自治州
69,51346,44.43333333333413,84.66666666666326,新疆维吾尔自治区,塔城地区
70,51358,44.283333333336365,85.81666666667256,新疆维吾尔自治区,塔城地区
71,51365,44.19999999999798,87.5333333333313,新疆维吾尔自治区,五家渠市
72,51367,44.14964464639608,86.8329779797298,新疆维吾尔自治区,昌吉回族自治州
73,51379,44.01666666666564,89.5666666666729,新疆维吾尔自治区,昌吉回族自治州
74,51431,43.949999999997985,81.33333333333647,新疆维吾尔自治区,伊犁哈萨克自治州
75,51433,43.800000000002015,82.51666666666429,新疆维吾尔自治区,伊犁哈萨克自治州
76,51437,43.14999999999782,81.13333333333179,新疆维吾尔自治区,伊犁哈萨克自治州
77,51463,43.783333333336344,87.64999999999597,新疆维吾尔自治区,乌鲁木齐市
78,51467,42.758161481998464,86.32482814866955,新疆维吾尔自治区,巴音郭楞蒙古自治州
79,51469,43.449999999997985,87.18333333332731,新疆维吾尔自治区,乌鲁木齐市
80,51470,43.88333333333209,88.11666666666824,新疆维吾尔自治区,昌吉回族自治州
81,51477,43.35000000000221,88.3166666666728,新疆维吾尔自治区,乌鲁木齐市
82,51495,43.21666666666371,91.73333333333584,新疆维吾尔自治区,哈密地区
83,51526,42.233333333334244,88.21666666666876,新疆维吾尔自治区,吐鲁番地区
84,51542,43.033333333336266,84.14999999999604,新疆维吾尔自治区,巴音郭楞蒙古自治州
85,51567,42.083333333331645,86.56666666667265,新疆维吾尔自治区,巴音郭楞蒙古自治州
86,51573,42.93723639752989,89.20780612839613,新疆维吾尔自治区,吐鲁番地区
87,51581,42.850000000002154,90.23333333333582,新疆维吾尔自治区,吐鲁番地区
88,51628,41.15495747407759,80.2684609111043,新疆维吾尔自治区,阿克苏地区
89,51633,41.783333333336145,81.89999999999608,新疆维吾尔自治区,阿克苏地区
90,51639,41.23333333333417,82.78333333333163,新疆维吾尔自治区,阿克苏地区
91,51642,41.81241407433211,84.26454037049746,新疆维吾尔自治区,巴音郭楞蒙古自治州
92,51644,41.716666666663855,82.9666666666684,新疆维吾尔自治区,阿克苏地区
93,51655,41.350000000002034,86.26666666666424,新疆维吾尔自治区,巴音郭楞蒙古自治州
94,51656,41.746096935804246,86.05917511359871,新疆维吾尔自治区,巴音郭楞蒙古自治州
95,51701,40.51666666666589,75.39999999999627,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州
96,51704,39.71666666666405,76.16666666666396,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州
97,51705,39.71666666666405,75.25,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州
98,51709,39.474822323198644,75.86915414190875,新疆维吾尔自治区,喀什地区
99,51711,40.933333333334105,78.45000000000364,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州
100,51716,39.80000000000192,78.56666666667186,新疆维吾尔自治区,喀什地区
101,51720,40.5,79.0499999999963,新疆维吾尔自治区,阿克苏地区
102,51730,40.55000000000194,81.26666666666435,新疆维吾尔自治区,阿拉尔市
103,51747,39.0,83.66666666666335,新疆维吾尔自治区,巴音郭楞蒙古自治州
104,51765,40.633333333332175,87.70000000000451,新疆维吾尔自治区,巴音郭楞蒙古自治州
105,51777,39.03333333333588,88.16666666666302,新疆维吾尔自治区,巴音郭楞蒙古自治州
106,51804,37.766666666666104,75.23333333333554,新疆维吾尔自治区,喀什地区
107,51810,38.91666666666809,77.63333333333179,新疆维吾尔自治区,喀什地区
108,51811,38.433333333334105,77.26666666666442,新疆维吾尔自治区,喀什地区
109,51818,37.61666666666777,78.28333333333197,新疆维吾尔自治区,和田地区
110,51828,37.133333333332246,79.933333333328,新疆维吾尔自治区,和田地区
111,51839,37.06666666666591,82.71666666666837,新疆维吾尔自治区,和田地区
112,51855,38.149999999998286,85.54999999999569,新疆维吾尔自治区,巴音郭楞蒙古自治州
113,51886,38.25,90.85000000000409,青海省,海西蒙古族藏族自治州
114,51931,36.85000000000157,81.64999999999608,新疆维吾尔自治区,和田地区
115,52101,43.600000000002225,93.04999999999512,新疆维吾尔自治区,哈密地区
116,52112,43.75851101013711,95.05993242456142,新疆维吾尔自治区,哈密地区
117,52118,43.266666666665685,94.70000000000499,新疆维吾尔自治区,哈密地区
118,52203,42.81666666666588,93.51666666666412,新疆维吾尔自治区,哈密地区
119,52267,41.94999999999803,101.06666666667105,内蒙古自治区,阿拉善盟
120,52313,41.53333333333613,94.66666666666352,甘肃省,酒泉市
121,52323,41.80000000000197,97.03333333333076,甘肃省,酒泉市
122,52418,40.149999999998094,94.68333333332764,甘肃省,酒泉市
123,52424,40.53333333333603,95.78191774437592,甘肃省,酒泉市
124,52436,40.266666666665905,97.03333333333076,甘肃省,酒泉市
125,52446,40.30000000000194,99.51666666666405,甘肃省,酒泉市
126,52447,40.0,98.88474892228874,甘肃省,酒泉市
127,52495,40.166666666668206,104.79999999999434,内蒙古自治区,阿拉善盟
128,52533,39.766666666665955,98.48333333333592,甘肃省,酒泉市
129,52546,39.36666666666781,99.83333333333529,甘肃省,张掖市
130,52576,39.21666666666411,101.68333333332909,内蒙古自治区,阿拉善盟
131,52602,38.75,93.33333333333677,青海省,海西蒙古族藏族自治州
132,52633,38.81454037049899,98.41666666666441,青海省,海北藏族自治州
133,52645,38.426604916696256,99.59327158336298,青海省,海北藏族自治州
134,52652,39.06419666783026,100.30246999883222,甘肃省,张掖市
135,52657,38.183333333334105,100.25,青海省,海北藏族自治州
136,52661,38.800000000001894,101.083333333335,甘肃省,张掖市
137,52674,38.22943026913476,101.95886053827414,甘肃省,金昌市
138,52679,37.916666666668,102.66666666666535,甘肃省,武威市
139,52681,38.63333333333221,103.08333333333458,甘肃省,武威市
140,52707,36.80000000000185,93.68333333332741,青海省,海西蒙古族藏族自治州
141,52713,37.85000000000168,95.35212629616987,青海省,海西蒙古族藏族自治州
142,52737,37.36666666666777,97.38120703716646,青海省,海西蒙古族藏族自治州
143,52754,37.333333333332064,100.13333333333395,青海省,海北藏族自治州
144,52765,37.38333333333223,101.61666666666565,青海省,海北藏族自治州
145,52787,37.19999999999814,102.86666666666531,甘肃省,武威市
146,52797,37.18333333333409,104.04999999999441,甘肃省,白银市
147,52818,36.41666666666786,94.9145403704968,青海省,海西蒙古族藏族自治州
148,52825,36.433333333334076,96.4312070371612,青海省,海西蒙古族藏族自治州
149,52833,36.931207037167255,98.48333333333592,青海省,海西蒙古族藏族自治州
150,52836,36.30000000000182,98.10000000000231,青海省,海西蒙古族藏族自治州
151,52842,36.78333333333561,99.08333333333546,青海省,海西蒙古族藏族自治州
152,52856,36.266666666666254,100.61666666666589,青海省,海南藏族自治州
153,52866,36.731207037166975,101.75,青海省,西宁市
154,52868,36.0250029127333,101.40071070720964,青海省,海南藏族自治州
155,52876,36.33120703716533,102.83545962950146,青海省,海东地区
156,52884,36.35000000000151,103.94858441105065,甘肃省,兰州市
157,52895,36.566666666665924,104.6833333333297,甘肃省,白银市
158,52908,35.216666666664594,93.08333333333685,青海省,玉树藏族自治州
159,52943,35.583333333332234,99.98333333333595,青海省,海南藏族自治州
160,52955,35.583333333332234,100.73545962950286,青海省,海南藏族自治州
161,52974,35.52447279506125,102.02056973085979,青海省,黄南藏族自治州
162,52983,35.866666666667726,104.1499999999992,甘肃省,兰州市
163,52984,35.583333333332234,103.18333333332941,甘肃省,临夏回族自治州
164,52986,35.36525107771281,103.86525107771007,甘肃省,定西市
165,52996,35.38333333333228,105.01525107770911,甘肃省,定西市
166,53068,43.62834673191275,111.94183851799788,内蒙古自治区,锡林郭勒盟
167,53083,44.6166666666679,114.15000000000128,内蒙古自治区,锡林郭勒盟
168,53149,42.533333333336216,110.13333333333637,内蒙古自治区,包头市
169,53192,44.01666666666564,114.96170919259345,内蒙古自治区,锡林郭勒盟
170,53195,43.850000000002254,113.63333333333712,内蒙古自治区,锡林郭勒盟
171,53276,42.39999999999787,112.90000000000109,内蒙古自治区,锡林郭勒盟
172,53336,41.566666666665895,108.51666666666395,内蒙古自治区,巴彦淖尔市
173,53352,41.69999999999803,110.4333333333307,内蒙古自治区,包头市
174,53362,41.53422463008531,111.6815507398325,内蒙古自治区,乌兰察布市
175,53367,41.316666666665895,111.23333333333605,内蒙古自治区,包头市
176,53391,41.899999999997924,114.0,内蒙古自治区,乌兰察布市
177,53399,41.149999999997995,114.70000000000616,河北省,张家口市
178,53446,40.5844110450919,109.87056390539881,内蒙古自治区,包头市
179,53463,40.837230572063156,111.61135966445605,内蒙古自治区,呼和浩特市
180,53478,40.0,112.45000000000609,山西省,朔州市
181,53480,41.033333333336074,113.06666666666894,内蒙古自治区,乌兰察布市
182,53487,40.08971804730087,113.38474309681843,山西省,大同市
183,53490,40.433333333334105,114.04999999999387,山西省,大同市
184,53502,39.78333333333595,105.75,内蒙古自治区,阿拉善盟
185,53513,40.73333333333413,107.36666666666424,内蒙古自治区,巴彦淖尔市
186,53519,39.21666666666411,106.766666666664,宁夏回族自治区,石嘴山市
187,53529,39.08758592566554,107.96666084120184,内蒙古自治区,鄂尔多斯市
188,53543,39.83333333333183,109.98333333333605,内蒙古自治区,鄂尔多斯市
189,53547,39.10000000000181,109.03333333333019,内蒙古自治区,鄂尔多斯市
190,53564,39.37730397297008,111.17411744145453,山西省,忻州市
191,53578,39.36666666666781,112.43333333333099,山西省,朔州市
192,53579,39.016666666666005,112.90000000000109,山西省,忻州市
193,53588,38.949999999998106,113.51666666666391,山西省,忻州市
194,53593,39.83333333333183,114.56666666666868,河北省,张家口市
195,53594,39.44999999999808,114.18333333333126,山西省,大同市
196,53602,38.83333333333192,105.66719095887134,内蒙古自治区,阿拉善盟
197,53612,37.98333333333391,106.18333333332994,宁夏回族自治区,吴忠市
198,53614,38.46666666666419,106.20000000000572,宁夏回族自治区,银川市
199,53615,38.800000000001894,106.70000000000576,宁夏回族自治区,石嘴山市
200,53646,38.26666666666607,109.78333333333012,陕西省,榆林市
201,53651,38.816666666665895,110.45389723873232,陕西省,榆林市
202,53663,38.91666666666809,111.81666666666912,山西省,忻州市
203,53664,38.46666666666419,111.1333333333366,山西省,吕梁市
204,53673,38.73333333333397,112.71666666667,山西省,忻州市
205,53687,37.783333333335726,113.63333333333712,山西省,阳泉市
206,53698,38.05389723872696,114.37553885587644,河北省,石家庄市
207,53704,37.533333333335705,105.18333333332977,宁夏回族自治区,中卫市
208,53705,37.48333333333387,105.68333333332987,宁夏回族自治区,中卫市
209,53723,37.800000000001866,107.38333333333576,宁夏回族自治区,吴忠市
210,53725,37.583333333332035,107.58333333333373,陕西省,榆林市
211,53735,37.61666666666777,108.79999999999414,陕西省,榆林市
212,53738,36.91666666666791,108.16666666666642,陕西省,延安市
213,53740,37.933333333334105,109.23333333333605,陕西省,榆林市
214,53754,37.5,110.21666666666991,陕西省,榆林市
215,53764,37.5,111.0999999999993,山西省,吕梁市
216,53772,37.68051380636244,112.57056390539536,山西省,太原市
217,53775,37.42517767680491,112.56595595945265,山西省,晋中市
218,53787,37.06666666666591,112.98333333333609,山西省,晋中市
219,53798,37.108872189211176,114.45176511708681,河北省,邢台市
220,53806,36.566666666665924,105.64999999999952,宁夏回族自治区,中卫市
221,53810,36.966666666664366,105.89999999999958,宁夏回族自治区,吴忠市
222,53817,36.0,106.266666666664,宁夏回族自治区,固原市
223,53821,36.568082255620816,107.2999999999942,甘肃省,庆阳市
224,53845,36.58971804730129,109.46915414191507,陕西省,延安市
225,53853,36.699999999998155,110.95000000000601,山西省,临汾市
226,53854,36.583333333332135,110.0666666666694,陕西省,延安市
227,53859,36.10000000000148,110.66666666666686,山西省,临汾市
228,53863,37.04539205405985,111.92872538739651,山西省,晋中市
229,53868,36.066666666665924,111.5,山西省,临汾市
230,53877,36.16666666666783,112.25,山西省,临汾市
231,53882,36.05815565653028,113.05035535360331,山西省,长治市
232,53884,36.516666666666225,113.03333333333,山西省,长治市
233,53898,36.05000000000182,114.26950949551761,河南省,安阳市
234,53903,35.96666666666449,105.7166666666697,宁夏回族自治区,固原市
235,53910,35.66666666666778,106.20000000000572,宁夏回族自治区,固原市
236,53915,35.54822905744135,106.66666666666613,甘肃省,平凉市
237,53923,35.733333333333704,107.6333333333358,甘肃省,庆阳市
238,53929,35.199999999998205,107.79999999999416,陕西省,咸阳市
239,53942,35.78582080857441,109.44859023651331,陕西省,延安市
240,53948,34.94999999999821,109.58333333333334,陕西省,渭南市
241,53955,35.466666666664565,110.45000000000596,陕西省,渭南市
242,53959,35.07411744145548,111.05602936036156,山西省,运城市
243,53963,35.64999999999858,111.36666666666336,山西省,临汾市
244,53968,35.28333333333542,111.66666666666704,山西省,运城市
245,53975,35.483333333333675,112.40000000000096,山西省,晋城市
246,53986,35.316666666665924,113.88333333333719,河南省,新乡市
247,54012,44.56666666666587,117.63333333333792,内蒙古自治区,锡林郭勒盟
248,54026,44.56666666666587,120.90000000000255,内蒙古自治区,通辽市
249,54027,43.98333333333436,119.4000000000023,内蒙古自治区,赤峰市
250,54041,44.80000000000204,123.06666666666746,吉林省,白城市
251,54049,44.25,123.96666666667038,吉林省,松原市
252,54063,44.96666666666357,126.0,吉林省,松原市
253,54064,44.38333333333209,125.15000000000322,吉林省,长春市
254,54094,44.53404404054495,129.63262262612693,黑龙江省,牡丹江市
255,54096,44.38368868693798,131.16702202027574,黑龙江省,牡丹江市
256,54102,43.949999999997985,116.11666666666237,内蒙古自治区,锡林郭勒盟
257,54115,43.62056390539285,118.04610276126726,内蒙古自治区,赤峰市
258,54134,43.600000000002225,121.28333333332972,内蒙古自治区,通辽市
259,54135,43.600000000002225,122.26666666666384,内蒙古自治区,通辽市
260,54142,43.5,123.53333333332962,吉林省,四平市
261,54157,43.15495747407775,124.34504252593193,吉林省,四平市
262,54161,43.899999999997746,125.21666666667042,吉林省,长春市
263,54165,43.550000000002015,125.63333333333937,吉林省,长春市
264,54171,43.699999999997985,126.5166666666638,吉林省,吉林市
265,54181,43.699999999997985,127.33333333333063,吉林省,吉林市
266,54186,43.36666666666788,128.20000000000672,吉林省,延边朝鲜族自治州
267,54195,43.300000000002015,129.78333333332944,吉林省,延边朝鲜族自治州
268,54208,42.191320051263055,116.46666666667014,内蒙古自治区,锡林郭勒盟
269,54213,42.93333333333412,119.01666666666388,内蒙古自治区,赤峰市
270,54218,42.295747407668316,118.84609111033295,内蒙古自治区,赤峰市
271,54226,42.33333333333163,120.70000000000644,内蒙古自治区,赤峰市
272,54236,42.383333333332146,122.54999999999347,辽宁省,阜新市
273,54237,42.06666666666588,121.75,辽宁省,阜新市
274,54243,42.78333333333625,124.11276360246515,辽宁省,铁岭市
275,54254,42.533333333336216,124.04999999999342,辽宁省,铁岭市
276,54259,42.083688686938316,124.89219969706815,辽宁省,抚顺市
277,54260,42.916666666668405,125.08333333333094,吉林省,辽源市
278,54263,42.96666666666374,126.06205872072012,吉林省,吉林市
279,54266,42.533333333336216,125.63333333333937,吉林省,通化市
280,54273,42.98333333333429,126.75,吉林省,吉林市
281,54276,42.38724222299656,126.80425259232638,吉林省,白山市
282,54284,42.149999999997895,127.5,吉林省,白山市
283,54285,42.414895724106366,128.11666666666022,吉林省,延边朝鲜族自治州
284,54286,42.533333333336216,129.0,吉林省,延边朝鲜族自治州
285,54292,42.86666666666788,129.5,吉林省,延边朝鲜族自治州
286,54308,41.19999999999804,116.63333333333773,河北省,承德市
287,54311,41.966666666663826,117.76666666666388,河北省,承德市
288,54324,41.55000000000197,120.43333333333216,辽宁省,朝阳市
289,54326,41.399644646395856,119.66222183385176,辽宁省,朝阳市
290,54333,41.966666666663826,122.84999999999714,辽宁省,沈阳市
291,54334,41.51666666666581,121.24361528603096,辽宁省,锦州市
292,54335,41.68333333333412,122.08333333333135,辽宁省,锦州市
293,54337,41.133333333332146,121.11666666666143,辽宁省,锦州市
294,54339,41.08333333333173,123.0,辽宁省,鞍山市
295,54342,41.733333333334215,123.51666666666382,辽宁省,沈阳市
296,54346,41.31276360247013,123.78333333332962,辽宁省,本溪市
297,54349,41.30000000000196,124.12908074100623,辽宁省,本溪市
298,54351,41.91666666666834,124.0794302691353,辽宁省,抚顺市
299,54353,41.73190609344049,125.04857276010092,辽宁省,抚顺市
300,54363,41.68333333333412,125.90000000000336,吉林省,通化市
301,54365,41.2833333333361,125.34999999999674,辽宁省,本溪市
302,54374,41.80000000000197,126.88333333333956,吉林省,白山市
303,54377,41.1404578818574,126.20394384248324,吉林省,通化市
304,54386,41.4166666666683,128.1833333333332,吉林省,白山市
305,54401,40.77091925899949,114.90816148199964,河北省,张家口市
306,54405,40.41666666666821,115.5,河北省,张家口市
307,54406,40.44999999999806,115.96666666667014,北京市,北京市
308,54416,40.383333333332175,116.86666666666224,北京市,北京市
309,54423,40.96879296283075,117.92091925900164,河北省,承德市
310,54429,40.19999999999806,117.95000000000631,河北省,唐山市
311,54436,40.41666666666821,118.95000000000636,河北省,秦皇岛市
312,54449,39.85000000000189,119.51666666666388,河北省,秦皇岛市
313,54452,40.80000000000196,119.81276360247216,辽宁省,葫芦岛市
314,54454,40.33333333333179,120.29999999999359,辽宁省,葫芦岛市
315,54455,40.612414074334154,120.65637888850287,辽宁省,葫芦岛市
316,54470,41.01666666666585,122.06294419200924,辽宁省,盘锦市
317,54471,40.65319818245378,122.16666666666865,辽宁省,营口市
318,54472,40.88333333333216,122.72411161598706,辽宁省,鞍山市
319,54476,40.16967843411478,122.15000000000273,辽宁省,营口市
320,54486,40.30142141442232,123.28333333332964,辽宁省,鞍山市
321,54493,40.716666666663954,124.78333333332958,辽宁省,丹东市
322,54497,40.04609693580617,124.33333333333105,辽宁省,丹东市
323,54511,39.80000000000192,116.46666666667014,北京市,北京市
324,54518,39.153908889666795,116.39574740766777,河北省,廊坊市
325,54525,39.733333333334045,117.28333333332985,天津市,天津市
326,54527,39.08333333333189,117.04999999999373,天津市,天津市
327,54534,39.64999999999814,118.09999999999796,河北省,唐山市
328,54535,39.283333333335904,118.4666666666702,河北省,唐山市
329,54539,39.433333333334105,118.88333333333817,河北省,唐山市
330,54563,39.63333333333218,122.01666666666384,辽宁省,大连市
331,54579,39.266666666665984,122.58333333333128,辽宁省,大连市
332,54584,39.71666666666405,122.95000000000654,辽宁省,大连市
333,54602,38.74821740650189,115.48758592566996,河北省,保定市
334,54606,38.23174298030949,115.73492368635915,河北省,衡水市
335,54618,38.08333333333198,116.54999999999374,河北省,沧州市
336,54623,39.050000000001894,117.71666666667019,天津市,天津市
337,54624,38.38723057205893,117.3294360946084,河北省,沧州市
338,54660,38.816666666665895,121.23333333333616,辽宁省,大连市
339,54662,38.903372946522566,121.63333333333868,辽宁省,大连市
340,54705,37.36666666666777,115.38333333333748,河北省,邢台市
341,54715,37.31666666666591,116.54857858557777,山东省,德州市
342,54725,37.5,117.53333333332985,山东省,滨州市
343,54727,36.68333333333409,117.54999999999373,山东省,济南市
344,54744,37.583333333332035,118.54999999999364,山东省,东营市
345,54751,37.933333333334105,120.73333333333616,山东省,烟台市
346,54753,37.63333333333223,120.33333333333158,山东省,烟台市
347,54764,37.48545962950069,121.23545962950311,山东省,烟台市
348,54774,37.466666666664295,122.13333333333875,山东省,威海市
349,54776,37.399999999998386,122.70000000000653,山东省,威海市
350,54808,36.233333333333746,115.63333333333752,山东省,聊城市
351,54823,36.60000000000153,117.0,山东省,济南市
352,54826,36.25,117.09999999999815,山东省,泰安市
353,54836,36.183333333334076,118.16666666666808,山东省,淄博市
354,54842,36.77694861936649,119.9808458580908,山东省,青岛市
355,54843,36.75,119.20000000000636,山东省,潍坊市
356,54857,36.066666666665924,120.33333333333158,山东省,青岛市
357,54863,36.78333333333561,121.18333333333229,山东省,烟台市
358,54909,35.083333333332284,115.52091925899752,山东省,菏泽市
359,54916,35.566666666665924,116.8499999999982,山东省,济宁市
360,54929,35.266666666666346,117.96666666667019,山东省,临沂市
361,54936,35.566666666665924,118.83333333333185,山东省,日照市
362,54945,35.44539205405835,119.53936269369188,山东省,日照市
363,55228,32.5,80.0833333333363,西藏自治区,阿里地区
364,55248,32.14999999999911,84.41666666666335,西藏自治区,阿里地区
365,55279,31.383333333332402,90.03822143698221,西藏自治区,那曲地区
366,55294,32.35000000000092,90.23144876325479,西藏自治区,那曲地区
367,55299,31.483333333333178,92.06666666667302,西藏自治区,那曲地区
368,55437,30.283333333334586,81.25,西藏自治区,阿里地区
369,55472,30.94999999999837,88.63351001177696,西藏自治区,那曲地区
370,55493,30.48333333333305,91.10000000000409,西藏自治区,拉萨市
371,55569,29.083333333333115,87.60000000000403,西藏自治区,日喀则地区
372,55578,29.25,88.88333333333176,西藏自治区,日喀则地区
373,55585,29.43369257950592,90.16666666666296,西藏自治区,拉萨市
374,55591,29.66666666666697,91.13333333333176,西藏自治区,拉萨市
375,55598,29.19858068315717,91.76666666666418,西藏自治区,山南地区
376,55655,28.183333333334023,85.96666666666854,西藏自治区,日喀则地区
377,55664,28.633333333332494,87.08333333333685,西藏自治区,日喀则地区
378,55680,28.91666666666686,89.60000000000406,西藏自治区,日喀则地区
379,55681,28.966666666665674,90.39999999999594,西藏自治区,山南地区
380,55690,27.98333333333268,91.95000000000474,西藏自治区,山南地区
381,55696,28.416666666666774,92.46666666666894,西藏自治区,山南地区
382,55773,27.733333333332638,89.08333333333698,西藏自治区,日喀则地区
383,56004,34.21666666666473,92.43333333332713,青海省,海西蒙古族藏族自治州
384,56018,32.885459629499174,95.2854596294977,青海省,玉树藏族自治州
385,56021,34.118792962834505,95.79787370382807,青海省,玉树藏族自治州
386,56029,33.00212629616682,96.9751543749297,青海省,玉树藏族自治州
387,56033,34.9166666666677,98.21666666666931,青海省,果洛藏族自治州
388,56034,33.80000000000175,97.13333333333338,青海省,玉树藏族自治州
389,56038,32.98333333333341,98.10000000000231,四川省,甘孜藏族自治州
390,56043,34.481207037166755,100.23545962950286,青海省,果洛藏族自治州
391,56046,33.75,99.64999999999809,青海省,果洛藏族自治州
392,56065,34.733333333333604,101.60000000000143,青海省,黄南藏族自治州
393,56067,33.43333333333406,101.48333333333595,青海省,果洛藏族自治州
394,56074,34.0,102.08333333333476,甘肃省,甘南藏族自治州
395,56079,33.58333333333245,102.96666666666955,四川省,阿坝藏族羌族自治州
396,56080,35.0,102.89999999999887,甘肃省,甘南藏族自治州
397,56093,34.433333333334076,104.01666666666401,甘肃省,定西市
398,56096,33.399999999998876,104.9166666666658,甘肃省,陇南市
399,56106,31.883333333332384,93.78333333333099,西藏自治区,那曲地区
400,56116,31.416666666667233,95.60000000000328,西藏自治区,昌都地区
401,56125,32.199999999998305,96.46879296283602,青海省,玉树藏族自治州
402,56137,31.14999999999927,97.16666666666387,西藏自治区,昌都地区
403,56144,31.800000000001674,98.58333333333557,四川省,甘孜藏族自治州
